타아,53,184,50
차하,37,194,88
아바,31,165,90
다사,97,182,52
타하,29,168,72
마사,61,188,70
다하,40,158,99
가카,83,174,50
바하,5,152,78
마아,69,187,66
라자,30,170,44
바사,65,175,48
가아,51,164,98
파아,89,173,76
다아,37,168,95
하카,52,171,84
나자,51,151,77
하하,53,175,88
바라,34,187,82
다가,34,174,94
마사,85,195,99
다사,53,166,92
차자,25,161,60
나라,19,162,57
타마,50,190,77
바아,73,189,80
카타,48,182,98
가자,28,197,91
하가,18,195,84
사카,49,180,40
바라,25,164,68
바하,4,183,73
가바,88,190,80
나타,24,153,72
나라,3,169,94
하자,37,193,57
카파,64,161,54
파차,45,189,78
사사,73,163,95
하카,22,188,96
자자,7,199,73
다하,25,168,83
다타,1,181,59
자아,63,159,73
가가,46,189,96
다마,9,191,82
라자,70,168,43
바카,18,151,65
차자,99,162,47
바바,7,183,64
사하,77,156,54
나자,32,169,62
아하,19,189,89
아차,63,184,82
카차,1,171,60
자타,48,152,54
차라,65,186,82
차바,27,162,65
자아,3,173,98
다하,76,180,89
하마,57,187,47
자파,73,179,85
파사,83,180,73
다바,86,153,55
다가,70,172,47
파아,70,182,40
파차,56,154,58
하자,50,164,49
차라,40,195,53
가차,95,177,77
파라,49,170,81
차차,25,176,88
나가,20,195,48
파자,51,197,72
나다,64,185,93
다아,46,191,53
하다,66,158,72
차자,36,194,45
아카,33,174,70
파마,22,188,41
나타,39,195,88
가사,47,154,78
하아,28,183,47
마나,78,190,42
바바,5,156,84
타하,24,157,78
차자,58,153,98
가자,56,181,77
차차,28,195,72
파나,16,199,58
나하,71,198,52
하타,53,193,89
하차,83,195,84
가자,39,199,99
마사,11,152,69
파자,35,184,67
파차,59,154,94
나다,91,162,52
타자,34,192,62
라타,88,150,50
